EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	12:08:23	4	0.0001	2597.9978166975343	0.3975304961204529	0.7880964730228348	0.8177745438130789	0.8210158532480063
2	12:11:58	4	0.0000	1332.5480760741048	0.29172396659851074	0.5834456836907314	0.864632657032254	0.8650508152593852
3	12:15:32	4	0.0000	822.8502074526477	0.23010137677192688	0.4589322552003528	0.8795058029025437	0.883934300123478
4	12:19:06	4	0.0000	517.7913770208906	0.261819064617157	0.5231951544905673	0.8741951989051703	0.8728349388832264
5	12:22:40	4	0.0000	312.1305819226982	0.2358575314283371	0.4715463748151302	0.8884062558060637	0.8879450717953705
6	12:26:12	4	0.0000	204.19462303390176	0.21357393264770508	0.42608522179916664	0.8952633100195341	0.8975230279304964
7	12:29:44	4	0.0000	126.8874309658313	0.20686979591846466	0.41344265149295584	0.8985078506966352	0.8969338122743455
8	12:33:15	4	0.0000	72.5419328753253	0.20203562080860138	0.4033064141026852	0.8979888905695833	0.9010798875616102
9	12:36:46	4	0.0000	43.224708345746194	0.20342467725276947	0.4060996041092005	0.9002622069265115	0.9016276444532199
10	12:40:15	4	0.0000	24.758369824718216	0.19796065986156464	0.39518836578291006	0.9004570528131471	0.9038731258647766
