EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	23:14:33	4	0.0001	2904.575113228784	0.5537533760070801	1.1061713103722814	0.7982974906073192	0.7987065217467113
2	23:18:25	4	0.0000	1581.2895852901565	0.31245556473731995	0.6237981846091731	0.8491509616715052	0.8463294228786251
3	23:22:17	4	0.0000	940.2757145450305	0.31177595257759094	0.622794121648453	0.8658941569627658	0.8634830819245546
4	23:26:11	4	0.0000	616.9738081890828	0.24009035527706146	0.48010826440703813	0.8791991510652364	0.8826846698839201
5	23:29:59	4	0.0000	374.85745339005825	0.28756093978881836	0.5750970771839556	0.8794328174857093	0.8751497146243592
6	23:33:50	4	0.0000	251.2409843072769	0.21395356953144073	0.42643237508799403	0.892888422144506	0.894838791085906
7	23:37:38	4	0.0000	144.56048902004932	0.22300441563129425	0.44594556928875007	0.8903975871091849	0.8913827595545909
8	23:41:26	4	0.0000	77.4825042473775	0.22630879282951355	0.45216264999937106	0.8910211740061995	0.8906183660518683
9	23:45:20	4	0.0000	40.7005133548771	0.21481601893901825	0.429000979834909	0.8927191826075342	0.8947276051932765
10	23:49:10	4	0.0000	23.016508904543002	0.21795277297496796	0.43525373252459604	0.8935078103770228	0.8943601516430538
