EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	12:47:08	4	0.0001	3060.7849269953513	0.4671526849269867	0.933452608423379	0.8095765630551159	0.7950621270902383
2	12:53:35	4	0.0000	1887.2962061777362	0.3149796426296234	0.6275797443019766	0.8435501855261514	0.8420603614220366
3	13:00:03	4	0.0000	1447.5304484190565	0.35210156440734863	0.7041962493956595	0.8637310616251235	0.8649717616463091
4	13:06:33	4	0.0000	1048.4369329793699	0.2979298532009125	0.595013967005335	0.8661804139224717	0.8656903152624189
5	13:13:01	4	0.0000	742.2835834531652	0.24587120115756989	0.49174089068405213	0.8774401963772316	0.8787638903416274
6	13:19:29	4	0.0000	525.1391687977957	0.24098552763462067	0.4818914848365433	0.8822011463059479	0.8846290375891708
7	13:25:54	4	0.0000	350.00051303117345	0.21952573955059052	0.4388407148100758	0.8950959322762236	0.8925159757912136
8	13:32:16	4	0.0000	243.32219329239888	0.23308917880058289	0.4648142937924993	0.8915204166928233	0.8894915112369539
9	13:38:37	4	0.0000	168.77197230090906	0.23830817639827728	0.4765673747434343	0.8970213183246176	0.8869668339185826
10	13:44:58	4	0.0000	112.38980818522714	0.2343454211950302	0.46865541525017773	0.8953107816949116	0.8904392680806895
