EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	18:53:44	4	0.0001	3309.9092200277373	0.7740243077278137	1.5480426288045224	0.7620476010614002	0.7630677339832207
2	18:59:25	4	0.0000	2623.2983036130536	0.7666823863983154	1.527369042566826	0.7607436117982973	0.7457921122713043
3	19:05:09	4	0.0000	1696.9344283826795	0.3601979911327362	0.7145921767793415	0.8373111251590893	0.8211171542960745
4	19:10:51	4	0.0000	1240.2088485443383	0.3082665503025055	0.6139674732021392	0.8392524373350045	0.8428194256450756
5	19:16:29	4	0.0000	816.9670765861761	0.2933017611503601	0.5806095556018573	0.8510045035771593	0.851886003326326
6	19:22:05	4	0.0000	538.7581062538652	0.3125239312648773	0.6240715724354471	0.8496650190639159	0.8539982654023324
7	19:27:42	4	0.0000	333.8552257365718	0.25874435901641846	0.5161520622358899	0.8696267748854111	0.8705430350296848
8	19:33:20	4	0.0000	205.29474248803626	0.26496508717536926	0.5276092973326726	0.8623044545752485	0.8666544801971064
9	19:38:52	4	0.0000	114.65104093253825	0.277094304561615	0.55210892108498	0.8593969081659629	0.8639166037432997
10	19:44:08	4	0.0000	69.20209767306557	0.2701475918292999	0.5382270962629457	0.8607945946111859	0.866040070582785
