EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	22:11:24	4	0.0001	2918.8748494254833	0.633832573890686	1.267613628626653	0.8295969891953864	0.8204353790049439
2	22:17:54	4	0.0000	1715.3628747198672	0.331149160861969	0.6614954149058524	0.8468947876079245	0.8397008478529705
3	22:24:31	4	0.0000	1093.416410074089	0.3620406687259674	0.7240768190020033	0.8179011479197333	0.82329625109744
4	22:31:06	4	0.0000	754.4194053411775	0.36341461539268494	0.7264543212648954	0.8612661913116756	0.860591688120937
5	22:37:27	4	0.0000	533.9343386275432	0.2628057897090912	0.5256037794053967	0.8704634543304637	0.8754868930887351
6	22:43:44	4	0.0000	366.95275028682954	0.2486780434846878	0.49688331536602487	0.8786046406768533	0.8847392069570267
7	22:50:08	4	0.0000	239.63464794304127	0.23898062109947205	0.4779503345593533	0.8806175661366504	0.8832901568853044
8	22:56:43	4	0.0000	146.4048567764487	0.2320355325937271	0.4640705832705538	0.8863269277976449	0.8862659724554229
9	23:03:20	4	0.0000	80.30023990675593	0.23507119715213776	0.4701421357239141	0.8885019063809513	0.8897284122472624
10	23:10:06	4	0.0000	52.79257712546206	0.24039727449417114	0.4807788450754053	0.8868532632384188	0.8862293886590213
